ontology	genes	name	delta.rank	p.adj
CC	0/9	proteasome regulatory particle, base subcomplex	0	0.00512820512820513
CC	0/7	prefoldin complex	0	0
CC	0/30	proton-transporting two-sector ATPase complex	0	0
CC	0/12	vacuolar proton-transporting V-type ATPase, V0 domain	0	0
CC	0/179	mediator complex	0	0.00731707317073171
CC	0/7	proteasome core complex, alpha-subunit complex	0	0
CC	0/7	proteasome core complex, beta-subunit complex	0	0
CC	0/499	mitochondrial membrane	0	0
CC	0/17	proteasome accessory complex	0	0
CC	0/6	AP-2 adaptor complex	0	0.0075
CC	0/45	intrinsic component of mitochondrial membrane	0	0
CC	0/16	intrinsic component of mitochondrial outer membrane	0	0.00555555555555556
CC	0/12	extrinsic component of mitochondrial inner membrane	0	0
CC	0/24	proton-transporting V-type ATPase complex	0	0
CC	0/13	proton-transporting two-sector ATPase complex, catalytic domain	0	0
CC	0/33	mitochondrial nucleoid	0	0.00681818181818182
CC	0/8	TIM22 mitochondrial import inner membrane insertion complex	0	0
CC	0/173	cytosolic part	0	0.00571428571428571
CC	0/272	mitochondrial protein complex	0	0
CC	0/5	proton-transporting ATP synthase complex, catalytic core F(1)	0	0
CC	0/35	spliceosomal tri-snRNP complex	0	0
CC	0/11	respirasome	0	0
CC	0/10	ER membrane protein complex	0	0
CC	0/127	inner mitochondrial membrane protein complex	0	0
CC	0/87	Sm-like protein family complex	0	0
CC	0/102	ficolin-1-rich granule lumen	0	0
CC	0/13	TRAPP complex	0	0.00540540540540541
CC	0/9	iron-sulfur cluster assembly complex	0	0
MF	0/26	fatty acid derivative binding	0	0.00357142857142857
MF	0/7	3-hydroxyacyl-CoA dehydrogenase activity	0	0
MF	0/9	oxidoreductase activity, acting on a heme group of donors	0	0
MF	0/10	enoyl-CoA hydratase activity	0	0
MF	0/62	acetyltransferase activity	0	0.004
MF	0/5	isocitrate dehydrogenase activity	0	0
MF	0/7	peptide alpha-N-acetyltransferase activity	0	0.00689655172413793
MF	0/58	antioxidant activity	0	0.00384615384615385
MF	0/35	fatty acid binding	0	0
MF	0/27	NADH dehydrogenase activity	0	0
MF	0/367	active transmembrane transporter activity	0	0
MF	0/54	electron transfer activity	0	0
MF	0/85	proton transmembrane transporter activity	0	0
MF	0/28	oxidoreductase activity, acting on the aldehyde or oxo group of donors	0	0.00434782608695652
MF	0/54	oxidoreductase activity, acting on the CH-CH group of donors	0	0.0037037037037037
MF	0/75	oxidoreductase activity, acting on NAD(P)H	0	0
MF	0/96	transferase activity, transferring alkyl or aryl (other than methyl) groups	0	0
MF	0/47	carbon-oxygen lyase activity	0	0
MF	0/122	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	0	0.00416666666666667
MF	0/11	MHC protein complex binding	0	0
MF	0/6	proteasome-activating ATPase activity	0	0.00454545454545455
MF	0/27	protein folding chaperone	0	0
MF	0/4	transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer	0	0
MF	0/7	proton-transporting ATP synthase activity, rotational mechanism	0	0
MF	0/19	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	0	0
MF	0/428	cofactor binding	0	0
MF	0/83	unfolded protein binding	0	0
MF	0/29	2 iron, 2 sulfur cluster binding	0	0
MF	0/8	phosphatidylglycerol binding	0	0
