gene	KOG_class
LRRTK	Signal transduction mechanisms 
trk	Signal transduction mechanisms 
dar1	Amino acid transport and metabolism 
dar1	Signal transduction mechanisms 
LOC100856793	NA
LOC100856794	Signal transduction mechanisms 
LOC100856796	Signal transduction mechanisms 
LOC100861464	Cytoskeleton 
LOC100861465	Transcription 
LOC100885792	Chromatin structure and dynamics 
His.H4	Chromatin structure and dynamics 
LOC101845525	Signal transduction mechanisms 
LOC101846050	Signal transduction mechanisms 
LOC101862691	Signal transduction mechanisms 
PICK1	Signal transduction mechanisms 
LOC101853242	Signal transduction mechanisms 
LOC101853763	Signal transduction mechanisms 
LOC101855053	Chromatin structure and dynamics 
LOC101860705	Signal transduction mechanisms 
LOC101846659	Carbohydrate transport and metabolism 
LOC101846927	Signal transduction mechanisms 
LOC100533398	Signal transduction mechanisms 
LOC101860246	Signal transduction mechanisms 
LOC101854106	Chromatin structure and dynamics 
LOC101851320	Chromatin structure and dynamics 
LOC101851082	Signal transduction mechanisms 
rictor	Cell cycle control, cell division, chromosome partitioning 
LOC101855987	Signal transduction mechanisms 
LOC101854344	Transcription 
c-Jun	Transcription 
LOC101858063	Chromatin structure and dynamics 
LOC101861424	Chromatin structure and dynamics 
LOC101855059	Inorganic ion transport and metabolism 
LOC101848683	Carbohydrate transport and metabolism 
LOC101863531	Signal transduction mechanisms 
LOC101857921	Signal transduction mechanisms 
LOC106012547	Signal transduction mechanisms 
LOC101856481	Signal transduction mechanisms 
LOC101852456	Extracellular structures 
LOC101845732	Translation, ribosomal structure and biogenesis 
LOC101845963	Inorganic ion transport and metabolism 
LOC101847001	Cytoskeleton 
LOC101847694	Carbohydrate transport and metabolism 
LOC101848083	NA
LOC101848391	Signal transduction mechanisms 
LOC101848620	Signal transduction mechanisms 
LOC101848850	Transcription 
LOC101849504	Transcription 
LOC101849970	Cytoskeleton 
LOC101850212	NA
LOC101850446	Posttranslational modification, protein turnover, chaperones 
LOC101850682	Posttranslational modification, protein turnover, chaperones 
LOC101851774	Intracellular trafficking, secretion, and vesicular transport 
LOC101852128	Transcription 
LOC101852364	Posttranslational modification, protein turnover, chaperones 
LOC101852581	Posttranslational modification, protein turnover, chaperones 
LOC101853505	Signal transduction mechanisms 
LOC101853981	NA
LOC101854761	NA
LOC101855452	NA
LOC101855683	NA
LOC101855910	Energy production and conversion 
LOC101856139	Inorganic ion transport and metabolism 
LOC101856539	Signal transduction mechanisms 
LOC101856763	Posttranslational modification, protein turnover, chaperones 
LOC101857754	Posttranslational modification, protein turnover, chaperones 
LOC101857986	Posttranslational modification, protein turnover, chaperones 
LOC101858529	Transcription 
LOC101858747	NA
LOC101859282	RNA processing and modification 
LOC101859524	NA
LOC101860615	Cell wall/membrane/envelope biogenesis 
LOC101861244	Intracellular trafficking, secretion, and vesicular transport 
LOC101861473	NA
LOC101862382	Translation, ribosomal structure and biogenesis 
LOC101862618	NA
LOC101863065	NA
LOC101863307	Replication, recombination and repair 
LOC101863551	Intracellular trafficking, secretion, and vesicular transport 
LOC101864031	Transcription 
LOC101864424	NA
LOC101864654	NA
LOC101845135	Transcription 
LOC101845657	Energy production and conversion 
LOC101846041	Energy production and conversion 
LOC101846698	NA
LOC101847156	NA
LOC101847384	
LOC101847916	Signal transduction mechanisms 
LOC101848154	Nucleotide transport and metabolism 
LOC101848702	Intracellular trafficking, secretion, and vesicular transport 
LOC101849419	NA
LOC101849656	Signal transduction mechanisms 
LOC101850124	NA
LOC101850373	Transcription 
LOC101850608	NA
LOC101850854	Intracellular trafficking, secretion, and vesicular transport 
LOC101851304	
LOC101851775	Signal transduction mechanisms 
LOC101851775	Inorganic ion transport and metabolism 
LOC101851991	Amino acid transport and metabolism 
LOC101852215	Coenzyme transport and metabolism 
LOC101852887	Inorganic ion transport and metabolism 
LOC101854125	Signal transduction mechanisms 
LOC101855301	Amino acid transport and metabolism 
LOC101856476	NA
LOC101859675	Transcription 
LOC101859896	NA
LOC101860616	Posttranslational modification, protein turnover, chaperones 
LOC101862909	Transcription 
LOC101863146	Cell cycle control, cell division, chromosome partitioning 
LOC101863146	Replication, recombination and repair 
LOC101846614	Signal transduction mechanisms 
LOC101848005	Signal transduction mechanisms 
LOC101848789	Transcription 
LOC101849013	Defense mechanisms 
LOC101849255	NA
LOC101849803	Signal transduction mechanisms 
LOC101850213	NA
LOC101851084	Lipid transport and metabolism 
LOC101851540	NA
LOC101851776	RNA processing and modification 
LOC101852130	NA
LOC101852365	Posttranslational modification, protein turnover, chaperones 
LOC101852582	Posttranslational modification, protein turnover, chaperones 
LOC101852806	NA
LOC101853654	Transcription 
LOC101853894	NA
LOC101857154	Chromatin structure and dynamics 
LOC101857373	Posttranslational modification, protein turnover, chaperones 
LOC101857610	Intracellular trafficking, secretion, and vesicular transport 
LOC101858074	Intracellular trafficking, secretion, and vesicular transport 
LOC101858314	Signal transduction mechanisms 
LOC101858531	Secondary metabolites biosynthesis, transport and catabolism 
LOC101859283	Intracellular trafficking, secretion, and vesicular transport 
LOC101859525	Coenzyme transport and metabolism 
LOC101859746	Posttranslational modification, protein turnover, chaperones 
LOC101859746	Signal transduction mechanisms 
LOC101859985	Carbohydrate transport and metabolism 
LOC101860213	Posttranslational modification, protein turnover, chaperones 
LOC101860456	Posttranslational modification, protein turnover, chaperones 
LOC101861008	Defense mechanisms 
LOC101861245	RNA processing and modification 
LOC101861474	NA
LOC101862226	Nucleotide transport and metabolism 
LOC101862226	Inorganic ion transport and metabolism 
LOC101863392	Nucleotide transport and metabolism 
LOC101863392	Inorganic ion transport and metabolism 
LOC101845050	Cytoskeleton 
LOC101845888	NA
LOC101846256	Signal transduction mechanisms 
LOC101846470	Energy production and conversion 
LOC101846699	Posttranslational modification, protein turnover, chaperones 
LOC101846928	Posttranslational modification, protein turnover, chaperones 
LOC101847157	Signal transduction mechanisms 
LOC101847385	RNA processing and modification 
LOC101847776	Energy production and conversion 
LOC101848156	Signal transduction mechanisms 
LOC101848622	Replication, recombination and repair 
LOC101849014	RNA processing and modification 
LOC101849506	Lipid transport and metabolism 
LOC101849971	Replication, recombination and repair 
LOC101850448	Posttranslational modification, protein turnover, chaperones 
LOC101851159	Posttranslational modification, protein turnover, chaperones 
LOC101851840	Inorganic ion transport and metabolism 
LOC101852060	Inorganic ion transport and metabolism 
LOC101854610	RNA processing and modification 
LOC101856701	Energy production and conversion 
LOC101856701	Posttranslational modification, protein turnover, chaperones 
LOC101856938	Signal transduction mechanisms 
LOC101857155	Translation, ribosomal structure and biogenesis 
LOC101857374	Signal transduction mechanisms 
LOC101857611	Carbohydrate transport and metabolism 
LOC101857843	NA
LOC101858315	Transcription 
LOC101858532	Posttranslational modification, protein turnover, chaperones 
LOC101858979	Signal transduction mechanisms 
LOC101859209	Transcription 
LOC101860135	NA
LOC101861246	Replication, recombination and repair 
LOC101861475	Cytoskeleton 
LOC101861855	Translation, ribosomal structure and biogenesis 
LOC101862078	Intracellular trafficking, secretion, and vesicular transport 
LOC101863066	NA
LOC101863308	Transcription 
LOC101863703	Posttranslational modification, protein turnover, chaperones 
LOC101863939	Coenzyme transport and metabolism 
LOC101864184	Coenzyme transport and metabolism 
LOC101864426	Posttranslational modification, protein turnover, chaperones 
LOC101845138	NA
LOC101846543	Posttranslational modification, protein turnover, chaperones 
LOC101846778	Transcription 
LOC101847158	Signal transduction mechanisms 
LOC101847386	Posttranslational modification, protein turnover, chaperones 
LOC101847778	Lipid transport and metabolism 
LOC101848007	NA
LOC101848478	Transcription 
LOC101848929	NA
LOC101849171	Translation, ribosomal structure and biogenesis 
LOC101852441	NA
LOC101853358	Signal transduction mechanisms 
LOC101854539	Signal transduction mechanisms 
LOC101854539	Inorganic ion transport and metabolism 
LOC101855685	Intracellular trafficking, secretion, and vesicular transport 
LOC101858980	Signal transduction mechanisms 
LOC101859606	Energy production and conversion 
LOC101860537	Inorganic ion transport and metabolism 
LOC101861403	Energy production and conversion 
LOC101861778	NA
LOC101861999	Secondary metabolites biosynthesis, transport and catabolism 
LOC101863309	NA
LOC101863784	Cell cycle control, cell division, chromosome partitioning 
LOC101864033	Carbohydrate transport and metabolism 
LOC101864427	Translation, ribosomal structure and biogenesis 
LOC101864657	NA
LOC101846779	
LOC101847003	Cytoskeleton 
LOC101847387	Replication, recombination and repair 
LOC101848252	Amino acid transport and metabolism 
LOC101848479	Signal transduction mechanisms 
LOC101849172	Posttranslational modification, protein turnover, chaperones 
LOC101849806	Cytoskeleton 
LOC101850449	Signal transduction mechanisms 
LOC101850685	Transcription 
LOC101853043	Amino acid transport and metabolism 
LOC101853591	Signal transduction mechanisms 
LOC101853827	Replication, recombination and repair 
LOC101853827	Signal transduction mechanisms 
LOC101853827	Transcription 
LOC101855066	Carbohydrate transport and metabolism 
LOC101856228	Nuclear structure 
LOC101856619	Translation, ribosomal structure and biogenesis 
LOC101857074	Posttranslational modification, protein turnover, chaperones 
LOC101857450	NA
LOC101858316	Amino acid transport and metabolism 
LOC101858533	Intracellular trafficking, secretion, and vesicular transport 
LOC101858753	Signal transduction mechanisms 
LOC101859210	Intracellular trafficking, secretion, and vesicular transport 
LOC101860059	NA
LOC101845890	Defense mechanisms 
LOC101846780	NA
LOC101848084	Posttranslational modification, protein turnover, chaperones 
LOC101848706	Posttranslational modification, protein turnover, chaperones 
LOC101849973	Inorganic ion transport and metabolism 
LOC101849973	Signal transduction mechanisms 
LOC101850764	Signal transduction mechanisms 
LOC101852061	Signal transduction mechanisms 
LOC101852288	Replication, recombination and repair 
LOC101852520	Amino acid transport and metabolism 
LOC101853360	Posttranslational modification, protein turnover, chaperones 
LOC101853593	Posttranslational modification, protein turnover, chaperones 
LOC101853828	Cell motility 
LOC101854058	Translation, ribosomal structure and biogenesis 
LOC101854298	Posttranslational modification, protein turnover, chaperones 
LOC101854837	Posttranslational modification, protein turnover, chaperones 
LOC101855913	Carbohydrate transport and metabolism 
LOC101856767	Inorganic ion transport and metabolism 
LOC101857451	Signal transduction mechanisms 
LOC101859527	Lipid transport and metabolism 
LOC101859527	Secondary metabolites biosynthesis, transport and catabolism 
LOC101861626	Lipid transport and metabolism 
LOC101862762	Replication, recombination and repair 
LOC101864659	NA
LOC101845968	Intracellular trafficking, secretion, and vesicular transport 
LOC101846781	NA
LOC101847005	Posttranslational modification, protein turnover, chaperones 
LOC101847230	Posttranslational modification, protein turnover, chaperones 
LOC101847851	Posttranslational modification, protein turnover, chaperones 
LOC101848085	Posttranslational modification, protein turnover, chaperones 
LOC101848626	Posttranslational modification, protein turnover, chaperones 
LOC101848854	Transcription 
LOC101849094	Transcription 
LOC101849332	RNA processing and modification 
LOC101849332	Translation, ribosomal structure and biogenesis 
LOC101849808	Intracellular trafficking, secretion, and vesicular transport 
LOC101850378	Replication, recombination and repair 
LOC101850613	NA
LOC101851457	NA
LOC101851686	NA
LOC101852062	Posttranslational modification, protein turnover, chaperones 
LOC101852289	NA
LOC101852808	Posttranslational modification, protein turnover, chaperones 
LOC101853204	Intracellular trafficking, secretion, and vesicular transport 
LOC101853657	NA
LOC101854059	Cell cycle control, cell division, chromosome partitioning 
LOC101854456	NA
LOC101855915	Replication, recombination and repair 
LOC101855915	Cell cycle control, cell division, chromosome partitioning 
LOC101855915	Chromatin structure and dynamics 
LOC101856142	NA
LOC101856769	NA
LOC101857157	NA
LOC101857375	Translation, ribosomal structure and biogenesis 
LOC101857757	NA
LOC101858144	NA
LOC101859211	NA
LOC101845285	NA
LOC101848790	Posttranslational modification, protein turnover, chaperones 
LOC101849015	Cell cycle control, cell division, chromosome partitioning 
LOC101849737	Carbohydrate transport and metabolism 
LOC101849974	NA
LOC101850379	Carbohydrate transport and metabolism 
LOC101850615	Transcription 
LOC101850859	NA
LOC101852134	
LOC101852369	Signal transduction mechanisms 
LOC101853508	NA
LOC101853745	NA
LOC101855225	NA
LOC101856143	NA
LOC101857758	Posttranslational modification, protein turnover, chaperones 
LOC101859140	NA
LOC101859370	NA
LOC101859609	Intracellular trafficking, secretion, and vesicular transport 
LOC101860138	Cell wall/membrane/envelope biogenesis 
LOC101860460	Signal transduction mechanisms 
LOC101860460	Lipid transport and metabolism 
LOC101860860	NA
LOC101861087	NA
LOC101861330	NA
LOC101861697	Signal transduction mechanisms 
LOC101862153	NA
LOC101863396	Amino acid transport and metabolism 
LOC101863396	Coenzyme transport and metabolism 
LOC101863632	Energy production and conversion 
LOC101863942	NA
LOC101864187	Signal transduction mechanisms 
LOC101864428	Lipid transport and metabolism 
LOC101864660	NA
LOC101845139	Coenzyme transport and metabolism 
LOC101845893	Replication, recombination and repair 
LOC101846107	Posttranslational modification, protein turnover, chaperones 
LOC101846849	NA
LOC101847076	NA
LOC101847300	Transcription 
LOC101848086	NA
LOC101848560	Lipid transport and metabolism 
LOC101849258	Translation, ribosomal structure and biogenesis 
LOC101849258	Intracellular trafficking, secretion, and vesicular transport 
LOC101849975	Chromatin structure and dynamics 
LOC101849975	Cell cycle control, cell division, chromosome partitioning 
LOC101850450	Posttranslational modification, protein turnover, chaperones 
LOC101851458	Signal transduction mechanisms 
LOC101852136	Transcription 
LOC101853273	Cell wall/membrane/envelope biogenesis 
LOC101854681	Cytoskeleton 
LOC101857454	Carbohydrate transport and metabolism 
LOC101857844	RNA processing and modification 
LOC101858375	NA
LOC101861331	NA
LOC101861552	RNA processing and modification 
LOC101862231	Lipid transport and metabolism 
LOC101862464	Signal transduction mechanisms 
LOC101863223	Posttranslational modification, protein turnover, chaperones 
LOC101863473	Lipid transport and metabolism 
LOC101863707	NA
LOC101864349	Transcription 
LOC101845053	NA
LOC101845812	Carbohydrate transport and metabolism 
LOC101846044	NA
LOC101846547	Lipid transport and metabolism 
LOC101846932	Transcription 
LOC101848253	NA
LOC101848933	NA
LOC101849336	Intracellular trafficking, secretion, and vesicular transport 
LOC101849576	Replication, recombination and repair 
LOC101849976	Carbohydrate transport and metabolism 
LOC101850217	RNA processing and modification 
LOC101850767	NA
LOC101851161	Extracellular structures 
LOC101851994	Energy production and conversion 
LOC101852219	Transcription 
LOC101852444	Transcription 
LOC101852892	NA
LOC101853274	Inorganic ion transport and metabolism 
LOC101853986	Cell cycle control, cell division, chromosome partitioning 
LOC101854217	Transcription 
LOC101855838	Carbohydrate transport and metabolism 
LOC101856066	Carbohydrate transport and metabolism 
LOC101859290	
LOC101859987	RNA processing and modification 
LOC101860462	Carbohydrate transport and metabolism 
LOC101860861	NA
LOC101861089	Nucleotide transport and metabolism 
LOC101861089	Inorganic ion transport and metabolism 
LOC101861478	Carbohydrate transport and metabolism 
LOC101862622	
LOC101862845	RNA processing and modification 
LOC101863312	NA
LOC101863556	Signal transduction mechanisms 
LOC101863788	RNA processing and modification 
LOC101845141	Cell cycle control, cell division, chromosome partitioning 
LOC101845372	NA
LOC101846472	Amino acid transport and metabolism 
LOC101846703	Cell cycle control, cell division, chromosome partitioning 
LOC101847233	Intracellular trafficking, secretion, and vesicular transport 
LOC101847462	Cell cycle control, cell division, chromosome partitioning 
LOC101847462	Cytoskeleton 
LOC101848329	NA
LOC101848792	Signal transduction mechanisms 
LOC101853205	NA
LOC101853596	RNA processing and modification 
LOC101854301	Intracellular trafficking, secretion, and vesicular transport 
LOC101854543	Signal transduction mechanisms 
LOC101855069	NA
LOC101855457	NA
LOC101856305	Signal transduction mechanisms 
LOC101856548	Secondary metabolites biosynthesis, transport and catabolism 
LOC101856941	Replication, recombination and repair 
LOC101857847	NA
LOC101861332	Nucleotide transport and metabolism 
LOC101862004	NA
LOC101862696	Posttranslational modification, protein turnover, chaperones 
LOC101863226	Inorganic ion transport and metabolism 
LOC101863475	Intracellular trafficking, secretion, and vesicular transport 
LOC101863945	NA
LOC101864431	Intracellular trafficking, secretion, and vesicular transport 
LOC101864663	Transcription 
LOC101845438	NA
LOC101845662	NA
LOC101846258	Replication, recombination and repair 
LOC101847163	Transcription 
LOC101849018	Intracellular trafficking, secretion, and vesicular transport 
LOC101849260	Cell cycle control, cell division, chromosome partitioning 
LOC101849510	Carbohydrate transport and metabolism 
LOC101849979	NA
LOC101850380	NA
LOC101852063	NA
LOC101852290	Amino acid transport and metabolism 
LOC101852522	Amino acid transport and metabolism 
LOC101853206	Posttranslational modification, protein turnover, chaperones 
LOC101853423	NA
LOC101853658	Posttranslational modification, protein turnover, chaperones 
LOC101853898	Carbohydrate transport and metabolism 
LOC101855839	NA
LOC101856067	Cell cycle control, cell division, chromosome partitioning 
LOC101856306	Secondary metabolites biosynthesis, transport and catabolism 
LOC101856549	Posttranslational modification, protein turnover, chaperones 
LOC101856773	Signal transduction mechanisms 
LOC101857457	Replication, recombination and repair 
LOC101860298	Transcription 
LOC101860780	Secondary metabolites biosynthesis, transport and catabolism 
LOC101861251	Inorganic ion transport and metabolism 
LOC101861922	Transcription 
LOC101862623	Signal transduction mechanisms 
LOC101863227	Carbohydrate transport and metabolism 
LOC101863859	RNA processing and modification 
LOC101864112	Chromatin structure and dynamics 
LOC101864112	Transcription 
LOC101864495	Carbohydrate transport and metabolism 
LOC101845206	Signal transduction mechanisms 
LOC101845592	Signal transduction mechanisms 
LOC101845816	Secondary metabolites biosynthesis, transport and catabolism 
LOC101847078	Translation, ribosomal structure and biogenesis 
LOC101847078	Lipid transport and metabolism 
LOC101847078	Signal transduction mechanisms 
LOC101847463	Signal transduction mechanisms 
LOC101850296	NA
LOC101851091	Signal transduction mechanisms 
LOC101852291	
LOC101852971	Intracellular trafficking, secretion, and vesicular transport 
LOC101853424	NA
LOC101853659	Signal transduction mechanisms 
LOC101854061	Inorganic ion transport and metabolism 
LOC101854685	Inorganic ion transport and metabolism 
LOC101855537	Posttranslational modification, protein turnover, chaperones 
LOC101855991	Signal transduction mechanisms 
LOC101856231	Secondary metabolites biosynthesis, transport and catabolism 
LOC101856231	Lipid transport and metabolism 
LOC101856704	NA
LOC101859215	NA
LOC101859455	Defense mechanisms 
LOC101860378	NA
LOC101862697	Nuclear structure 
LOC101862697	Intracellular trafficking, secretion, and vesicular transport 
LOC101862917	Energy production and conversion 
LOC101863315	NA
LOC101863558	Lipid transport and metabolism 
LOC101863947	Chromatin structure and dynamics 
LOC101863947	Replication, recombination and repair 
LOC101863947	Cell cycle control, cell division, chromosome partitioning 
LOC101845056	Inorganic ion transport and metabolism 
LOC101845289	NA
LOC101845514	Translation, ribosomal structure and biogenesis 
LOC101845738	Posttranslational modification, protein turnover, chaperones 
LOC101846179	Intracellular trafficking, secretion, and vesicular transport 
LOC101846395	Intracellular trafficking, secretion, and vesicular transport 
LOC101846619	NA
LOC101847235	Signal transduction mechanisms 
LOC101847627	Cell wall/membrane/envelope biogenesis 
LOC101848484	Cell wall/membrane/envelope biogenesis 
LOC101848711	NA
LOC101849579	NA
LOC101849813	Lipid transport and metabolism 
LOC101850526	Lipid transport and metabolism 
LOC101851314	Secondary metabolites biosynthesis, transport and catabolism 
LOC101851314	Lipid transport and metabolism 
LOC101851547	Carbohydrate transport and metabolism 
LOC101852065	Inorganic ion transport and metabolism 
LOC101852292	Nucleotide transport and metabolism 
LOC101852523	Lipid transport and metabolism 
LOC101853362	Posttranslational modification, protein turnover, chaperones 
LOC101853751	Posttranslational modification, protein turnover, chaperones 
LOC101855841	Extracellular structures 
LOC101856070	Lipid transport and metabolism 
LOC101856070	Posttranslational modification, protein turnover, chaperones 
LOC101856070	Amino acid transport and metabolism 
LOC101856070	Defense mechanisms 
LOC101857220	Lipid transport and metabolism 
LOC101859988	Replication, recombination and repair 
LOC101861861	Transcription 
LOC100533272	NA
LOC101862467	Cytoskeleton 
LOC101863154	NA
LOC101863397	NA
LOC101863861	NA
LOC101864272	Posttranslational modification, protein turnover, chaperones 
LOC101864496	RNA processing and modification 
LOC101844966	Posttranslational modification, protein turnover, chaperones 
LOC101845207	NA
LOC101846324	Transcription 
LOC101846548	NA
LOC101847303	NA
LOC101847546	Intracellular trafficking, secretion, and vesicular transport 
LOC101847784	RNA processing and modification 
