gene	UNIPROT
LOC101849971	Q96MB7
LOC101853201	Q10472
LOC101850448	Q8IUC8
LOC101850684	Q10472
LOC101851159	Q10472
LOC101851159	Q10472
LOC101851378	Q10472
LOC101851615	Q9H9P8
LOC101851840	P02794
LOC101852060	P02792
LOC101853654	P11473
LOC101853894	P57054
LOC101854538	Q99614
LOC101854126	Q9Y2I9
LOC101856541	Q86XP3
LOC101856765	Q10472
LOC101856765	Q10472
LOC101856765	Q10472
LOC101857154	P68431
LOC101857154	P68431
LOC101857154	P68431
LOC101857154	P68431
LOC101857154	P68431
LOC101857373	Q9H3G5
LOC101857373	Q9H3G5
LOC101857373	Q9H3G5
LOC101857373	Q9H3G5
LOC101857373	Q9H3G5
LOC101852287	Q5TDP6
LOC101852518	Q5TDP6
LOC101857610	P51157
LOC101857610	P51157
LOC101857842	P11021
LOC101858074	Q9NP72
LOC101858314	Q9H2G2
LOC101858531	Q96GK7
LOC101858750	Q8NHE4
LOC101852969	O43301
LOC101853203	Q8TC71
LOC101859139	Q86UF1
LOC101853656	Q9NWM0
LOC101859283	P61587
LOC101859525	Q9NWM0
LOC101859746	P61201
LOC101859746	P61201
LOC101859985	O95394
LOC101860213	Q9BX73
LOC101860456	Q99426
LOC101861008	Q14517
LOC101861008	Q14517
LOC101861008	Q14517
LOC101861008	Q14517
LOC101861008	Q14517
LOC101861008	Q14517
LOC101861245	P57723
LOC101861245	P57723
LOC101861245	P57723
LOC101861245	Q15366
LOC101861245	Q15366
LOC101861245	Q15366
LOC101861245	Q15366
LOC101861245	Q15366
LOC101861245	Q15366
LOC101861245	P61978
LOC101861245	P61978
LOC101861245	Q15366
LOC101861245	Q15366
LOC101861245	Q15366
LOC101861245	P57723
LOC101861245	P57723
LOC101861245	P57723
LOC101861245	P61978
LOC101861245	P61978
LOC101861245	P61978
LOC101861245	P61978
LOC101861245	P61978
LOC101861245	P61978
LOC101861474	Q6P2C0
LOC101861474	Q6P2C0
LOC101861474	Q6P2C0
LOC101862226	Q9HAS3
LOC101862226	Q9HAS3
LOC101862226	Q9HAS3
LOC101863392	Q9HAS3
LOC101863392	Q9HAS3
LOC101863392	Q9HAS3
LOC118478418	Q9HAS3
LOC118478418	Q9HAS3
LOC101854373	Q9HAS3
LOC118477217	Q05901
LOC101854610	Q9H814
LOC101854836	A2RU49
LOC106014243	A2RU49
LOC101864571	O94813
LOC101864571	O94813
LOC101864571	O94813
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P06753
LOC101845050	P06753
LOC101845050	P06753
LOC101845050	P06753
LOC101845050	P06753
LOC101845050	P06753
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P09493
LOC101845050	P67936
LOC101845050	P09493
LOC101845050	P67936
LOC101845050	P06753
LOC101845050	P67936
LOC101845050	P67936
LOC101855302	Q6ZT12
LOC101855302	Q6ZT12
LOC101845888	Q86WZ0
LOC101845888	Q86WZ0
LOC101845888	Q86WZ0
LOC101846256	Q6JEL2
LOC101846470	O95299
LOC101846699	Q3KNV8
LOC101846928	Q9BSM1
LOC101847157	P41240
LOC101847157	P41240
LOC101847776	P07902
LOC101847776	P07902
LOC101847385	Q16560
LOC101847385	Q16560
LOC101848156	P10415
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC106014199	Q8N2E2
LOC118477191	Q8N2E2
LOC118477191	Q8N2E2
LOC118477191	Q8N2E2
LOC118477191	Q8N2E2
LOC118477191	Q8N2E2
LOC118477191	Q8N2E2
LOC118477191	Q8N2E2
LOC118477191	Q8N2E2
LOC118477191	Q8N2E2
LOC118477191	Q8N2E2
LOC118477191	Q8N2E2
LOC101855535	Q8N2E2
LOC101855535	Q8N2E2
LOC101855535	Q8N2E2
LOC101855760	P51170
LOC118479208	P37088
LOC101855987	A0A1W2PN81
LOC101856227	P36544
LOC101848622	Q9NP87
LOC101848622	Q9NP87
LOC101848622	Q9NP87
LOC101848622	Q9NP87
LOC101849014	Q9NY93
LOC101856701	Q9NW81
LOC101856938	P63098
LOC101857155	P26641
LOC101849658	O94806
LOC101857374	Q9HAU0
LOC101850126	Q69YW2
LOC101857611	Q96C23
LOC101850376	Q8IXF0
LOC101850376	Q8IXF0
LOC101857843	Q8IYT3
LOC101858315	P20226
LOC106011091	Q86X52
LOC101858532	Q9Y256
LOC100533454	P29992
LOC101858979	Q8TC07
LOC101858979	Q8TC07
LOC101859209	Q8N357
LOC101859209	Q8N357
LOC101860135	Q9HAR2
LOC101851086	Q9ULI4
LOC101851086	Q9ULI4
LOC101851541	Q2KJY2
LOC101851777	Q12950
LOC101861246	C9JTQ0
LOC106011071	Q9P273
LOC101861475	Q02224
LOC101861475	Q02224
LOC101861855	P60866
LOC101862078	Q92544
LOC101862078	Q92544
LOC106011076	M0QZD8
LOC101852216	Q5SRE7
LOC101852441	P22105
LOC101852658	Q5VX52
LOC101852658	Q5VX52
LOC101863066	Q8TBY9
LOC106011104	Q8N4V2
LOC106011104	Q8N4V2
LOC101852888	Q8N4V2
LOC101863308	Q7KZ85
LOC101863308	Q7KZ85
LOC101863703	Q8NFA0
LOC101863939	Q6NUM9
LOC101853131	Q6NUM9
LOC101864184	Q6NUM9
LOC101853358	Q9BUB5
LOC101853826	Q9BUB5
LOC101864426	O75344
LOC101864656	P35346
LOC106011080	Q16099
LOC101854297	Q96DY2
LOC101854297	Q96DY2
LOC101854539	Q9ULQ1
LOC101854989	Q96AY4
LOC101854989	Q96AY4
LOC101845138	Q6ZVK1
LOC101845138	Q6ZVK1
LOC101846543	O76050
LOC101846543	O76050
LOC101846778	P11473
LOC101846778	P11473
LOC101846778	P11473
LOC101846778	P11473
LOC101847158	Q9H2C0
LOC101847386	A6NMZ7
LOC101847386	A6NMZ7
LOC101847386	A6NMZ7
LOC101847386	A6NMZ7
LOC101847386	A6NMZ7
LOC101847386	A6NMZ7
LOC101847386	A6NMZ7
LOC101847386	A6NMZ7
LOC101847778	Q9BX95
LOC101855453	Q96NT5
LOC101848007	Q7Z3Q1
LOC101855685	P61011
LOC101848250	P61011
LOC101855912	Q9BUB5
LOC101856140	P21941
LOC101856140	P21941
LOC101848478	P43699
LOC101856852	Q9H0D6
LOC101857073	Q13976
LOC101848929	Q0P6H9
LOC101849171	Q96FX7
LOC101857527	Q8NBN3
LOC101860059	Q567U6
LOC101858980	Q9Y5U4
LOC101858980	Q9Y5U4
LOC101859606	P53597
LOC101859606	P53597
LOC101859606	P53597
LOC101860539	P20340
LOC101860537	P48751
LOC101860537	P48751
LOC101860537	P48751
LOC101860537	P04920
LOC101860537	P48751
LOC101860537	P48751
LOC101860537	P04920
LOC101860537	P04920
LOC101860776	Q8N957
LOC101861403	Q96DW6
LOC101861403	Q96DW6
LOC101861778	Q96NB1
LOC101861010	O43252
LOC101861999	Q9P272
LOC106011126	Q9UBG0
LOC101861248	Q9UM47
LOC101861248	Q9UM47
LOC101861248	Q9UM47
LOC101861248	Q9UM47
LOC101861248	Q9UM47
LOC101861248	Q9UM47
LOC101861248	Q9UM47
LOC101861248	Q9UM47
LOC101861248	Q9UM47
LOC101863309	Q96F45
LOC101861477	Q86XH1
LOC101863784	Q7Z5K2
LOC101863784	Q7Z5K2
LOC101864033	O75477
LOC101864427	Q9Y3T9
LOC101864657	Q8N5C7
LOC101864657	Q8N5C7
LOC101864657	Q8N5C7
LOC101864657	Q8N5C7
LOC101864657	Q8N5C7
LOC101864657	Q8N5C7
LOC101846779	Q9UK61
LOC101847003	Q9UFH2
LOC118477370	Q9H4P4
LOC101847387	Q6P6C2
LOC101848252	Q03154
LOC106011222	Q03154
LOC106011222	Q03154
LOC118477111	P08908
LOC118477111	P08908
LOC101862620	P07686
LOC101848479	P49903
LOC101849172	Q9Y2M2
LOC101849806	Q86XH1
LOC101850449	P51957
LOC101863785	Q9BRZ2
LOC101850685	Q9Y5J3
LOC101850685	Q9Y5J3
LOC101850685	Q9Y5J3
LOC101853043	O60341
LOC101853043	O60341
LOC101853591	Q969H0
LOC101853591	Q969H0
LOC101854540	P49116
LOC101854540	P49116
LOC101854540	P49116
LOC101854540	P49116
LOC101853827	Q5NDL2
LOC101853827	Q5NDL2
LOC101853827	Q5NDL2
LOC101853827	Q5NDL2
LOC101855066	Q92611
LOC118477356	Q969S0
LOC118477356	Q969S0
LOC118477356	Q969S0
LOC101856228	Q8NFH3
LOC118477376	Q8WXD0
LOC101864493	O75626
LOC101864493	O75626
LOC118477379	Q3ZCU0
LOC101856619	Q9ULJ7
LOC101856619	Q9ULJ7
LOC101856619	Q9ULJ7
LOC101856619	Q9ULJ7
LOC101856619	Q9ULJ7
LOC101856619	Q9ULJ7
LOC101844963	Q07973
LOC101857074	Q92738
LOC101845435	Q008S8
LOC101845435	Q008S8
LOC101857450	Q9Y6P5
LOC101857450	Q9Y6P5
LOC101857450	Q9Y6P5
LOC101845659	P07101
LOC101858316	Q9H2M3
LOC101858533	Q96QF0
LOC101858533	Q96QF0
LOC101858753	Q96LZ3
LOC101845890	O75691
LOC101845890	O75691
LOC101859210	Q5T5C0
LOC101859210	Q5T5C0
LOC101859210	Q5T5C0
LOC101859210	Q5T5C0
LOC101859210	Q5T5C0
LOC101859210	Q5T5C0
LOC101846104	Q13609
LOC101857451	P21917
LOC101857451	P21917
LOC101857914	Q92673
LOC101846780	A2RU14
LOC100533392	P35241
LOC101858816	P50416
LOC101859287	Q6ZMT9
LOC101859527	Q96CM8
LOC101859747	Q96CM8
LOC101859986	Q96CM8
LOC106011300	Q4G176
LOC106011302	Q4G176
LOC101847850	Q96CM8
LOC101848084	Q10713
LOC101860458	O95935
LOC101860705	P32297
LOC101860936	Q16281
LOC101848706	P30711
LOC101848931	O43314
LOC101849973	Q14416
LOC101849973	Q14416
LOC101850522	P83111
LOC101850764	Q02750
LOC101850764	Q02750
LOC101852061	Q16566
LOC101852288	O95202
LOC101852520	P54886
LOC101852520	P54886
LOC101852520	P54886
LOC101853360	Q9BZH6
LOC101853593	P55036
LOC101853828	B2RTY4
LOC101854058	P25398
LOC101861626	Q9BRC7
LOC101854298	P63208
LOC101854837	Q8IUQ4
LOC101854837	Q8IUQ4
LOC101855224	Q9BXB4
LOC101861857	P43003
LOC101855913	O95461
LOC101862313	Q96QS3
LOC101862541	P36544
LOC101862762	Q9WJR5
LOC101863472	P06213
LOC101863472	P06213
LOC101856767	Q6PD62
LOC101863705	Q969R8
LOC101863705	Q969R8
LOC101863705	Q969R8
LOC101863705	Q969R8
LOC101863941	Q8WV41
LOC101864659	P27169
LOC101845968	Q9Y2D4
LOC101845968	Q9Y2D4
LOC101845968	Q9Y2D4
LOC101845968	Q9Y2D4
LOC101845968	Q9Y2D4
LOC101845968	Q9Y2D4
LOC101846781	Q9NWX6
LOC101847230	Q8NCW6
LOC101847005	Q8NCW6
LOC101847851	Q9NRG9
LOC101848085	O15484
LOC101848085	O15484
LOC101848480	Q9Y225
LOC101848480	Q9Y225
LOC101848480	Q9Y225
LOC101848480	Q9Y225
LOC101848626	Q96RJ6
LOC101848854	Q96RJ6
LOC101849094	Q96RJ6
LOC101854766	Q04741
LOC101849332	O00567
LOC101849572	Q9NS00
LOC101849808	Q9Y5W8
LOC101849808	Q9Y5W8
LOC101849808	Q9Y5W8
LOC101850378	P54277
LOC101850378	P54277
LOC101850613	Q9P0S3
LOC101855225	O76024
LOC101855225	O76024
LOC101850858	Q14982
LOC101850858	Q14982
LOC101855456	Q9ULI2
LOC101855688	P08183
LOC101855688	P08183
LOC101855916	P21439
LOC101855916	P21439
LOC101855916	P21439
LOC101855916	P21439
LOC101855916	P21439
LOC101855916	P21439
LOC101851457	P53801
LOC101856143	Q9H015
LOC101851686	Q9BZW5
LOC101851686	Q9BZW5
LOC101852062	Q96MT1
LOC101852289	P25100
LOC101852289	P25100
LOC101852808	P30048
LOC101853204	O15498
LOC106011377	Q4LE39
LOC101853657	Q9BVM2
LOC101853657	Q9BVM2
LOC101854059	Q86Y37
LOC101854456	Q8IX21
LOC101856621	Q04912
LOC101855687	P35348
LOC101855915	Q8IY18
LOC101856142	Q5TF39
LOC101856142	Q5TF39
LOC101856142	Q5TF39
LOC101856544	P54803
LOC101856769	P54803
LOC101856769	P54803
LOC101857157	P54803
LOC101857375	Q96G46
LOC101857375	Q96G46
LOC101857375	Q96G46
LOC101857375	Q96G46
LOC101857076	A8MY62
LOC101857757	A8MY62
LOC101858144	Q9P2N6
LOC101858144	Q9P2N6
LOC101858144	Q9P2N6
LOC101858677	Q8N2H3
LOC101859211	O75467
LOC101859211	O75467
LOC101859211	O75467
LOC101859211	Q9C0G0
LOC101859211	O60304
LOC101859211	Q9NQX1
LOC101859211	Q9NQX1
LOC101859211	Q9NQX1
LOC101859211	Q9NQX1
LOC101859211	Q9NQX1
LOC101859451	Q8N8K9
LOC101845285	Q9H963
LOC101845285	A6NJL1
LOC101845285	O15209
LOC101845285	O43361
LOC101845285	O43361
LOC101845285	O43361
LOC101845285	Q9HBE1
LOC101845285	Q9ULD5
LOC101845285	Q9ULD5
LOC101845285	Q15916
LOC101845285	Q8TD17
LOC101845285	Q8TD17
LOC101845285	P0CJ78
LOC101845285	P31629
LOC101845285	O15209
LOC101845285	Q99592
LOC101845285	O15209
LOC101857529	Q9GZX3
LOC101848790	Q9BRZ2
LOC101848790	Q9BRZ2
LOC101849015	O43684
LOC101857758	Q8NHH1
LOC101849737	Q16706
LOC101849974	Q8N9N7
LOC101850379	Q9NTJ4
LOC101850615	Q9UHD1
LOC101850859	Q8N2U0
ApCREB2	P18848
LOC101852134	A6NDU8
LOC101852369	Q96N67
LOC101852369	Q96N67
LOC101852369	Q96N67
LOC101852369	Q96N67
LOC101853508	Q99973
LOC101853745	Q9Y284
LOC101858453	P50226
LOC106011481	O00370
LOC101858904	O43614
LOC101859140	Q96HH9
LOC101859370	Q14657
LOC101859609	Q96KC2
LOC101859609	Q96KC2
LOC101851458	Q8N2E2
LOC101851458	Q8N2E2
LOC101851906	A6NNW6
LOC101860138	Q8N9V6
LOC101860138	Q8N9V6
LOC101860460	Q6UWH6
LOC101861087	Q9Y3C1
LOC101860860	P0DJG4
LOC101861330	Q32M84
LOC101852136	A6NHT5
LOC106011603	Q8N2E2
LOC106011603	Q8N2E2
LOC101852371	Q9NZT2
LOC101861697	P49146
LOC101861697	P49146
LOC101861920	Q14764
LOC101862153	A6NNL5
LOC101852810	Q8NEG5
LOC101852810	Q8NEG5
LOC101853046	Q6JEL2
LOC101853046	Q6JEL2
LOC101853273	P13612
LOC101853509	Q7Z442
LOC101853509	Q7Z442
LOC106011520	Q9P0L9
LOC101853746	Q8TCG2
LOC118477562	Q9BTU6
LOC101853985	Q5VV63
LOC101853985	Q5VV63
LOC101863396	Q9UJ83
LOC101863396	Q9UJ83
LOC101863632	Q9UJZ1
LOC101863942	P15941
LOC101864187	Q9HAE3
LOC101864428	O60551
LOC101864660	Q5RL73
LOC101845139	Q8WVC6
LOC101854681	Q0VAA2
LOC101854681	Q0VAA2
LOC101845370	Q9HDC9
LOC101854913	Q9C0G6
LOC101854913	Q9C0G6
LOC101854913	Q9C0G6
LOC101845893	Q9BQP7
LOC101855385	Q9NZV1
LOC101855385	Q9NZV1
LOC101846107	Q13114
LOC101846849	Q9UKR5
LOC101847076	Q7L8A9
LOC101847300	Q5VTE6
LOC101847300	Q5VTE6
LOC106011621	Q6P1J6
LOC106011621	Q6P1J6
LOC106011621	Q6P1J6
LOC106011621	Q6P1J6
LOC101848086	Q9NXG2
LOC101856065	Q13535
LOC101856303	Q68CL5
LOC101856303	Q68CL5
LOC101848328	Q96A25
LOC101856771	Q96A25
LOC101848560	P48449
LOC101848560	P48449
LOC101848560	P48449
LOC101848560	P48449
LOC101849258	Q8WTT2
LOC101856994	Q7RTX9
LOC101850216	Q9NRA2
LOC101849975	Q17RP2
LOC101857454	Q9NS00
LOC101850450	Q9H1Y0
LOC101850450	Q9H1Y0
LOC101850450	Q9H1Y0
LOC101850450	Q9H1Y0
LOC101853747	Q9H0F5
LOC101853986	P30304
LOC101853986	P30304
LOC101857844	Q14493
LOC101857844	Q14493
LOC101857844	Q14493
LOC101857844	Q14493
LOC101858375	Q8IUR6
LOC101858375	Q8IUR6
LOC101858375	Q8IUR6
LOC101858905	A6NNM8
LOC101858905	A6NNM8
LOC101858905	A6NNM8
LOC101858905	A6NNM8
LOC101858905	A6NNM8
LOC101858905	A6NNM8
LOC101858905	A6NNM8
LOC101858905	A6NNM8
LOC101858905	A6NNM8
LOC101858905	A6NNM8
LOC101858905	A6NNM8
LOC101858905	A6NNM8
LOC101858905	A6NNM8
LOC101858905	A6NNM8
LOC101858905	A6NNM8
LOC101861331	Q9Y3Y4
LOC101861331	Q9Y3Y4
LOC101861552	Q9H6S0
LOC101861552	Q9H6S0
LOC106011754	P45877
LOC101862003	P61024
LOC101862231	Q3KNV8
LOC101862231	Q3KNV8
LOC101862464	Q99961
LOC101862464	Q99961
LOC101862464	Q99961
LOC101863223	Q6UB28
LOC101863223	Q6UB28
LOC101863473	Q9P035
LOC101863707	Q8IW50
LOC101864349	Q9C056
LOC101845053	Q05823
LOC101854217	Q13562
LOC101845812	P0DUB6
LOC101854683	P0DUB6
LOC101846044	Q6UWZ7
LOC101846547	P07108
LOC101854915	Q8TEW0
LOC101854915	Q8TEW0
LOC101854915	Q8TEW0
LOC101854915	Q8TEW0
LOC101855387	P14618
LOC101855611	Q9UGM3
LOC101855611	Q9UGM3
LOC101855611	Q9UGM3
LOC101855611	Q9UGM3
LOC101855611	Q9UGM3
LOC101855611	Q9UGM3
LOC101855611	Q9UGM3
LOC101855611	Q9UGM3
LOC101846932	Q49AN0
LOC101846932	Q49AN0
LOC101846932	Q49AN0
LOC101846932	Q49AN0
LOC101846932	Q49AN0
LOC101846932	Q49AN0
LOC101846932	Q49AN0
LOC101846932	Q49AN0
LOC101847781	Q8N7B6
LOC101855838	Q9Y5Z6
LOC101856066	Q9Y5Z6
LOC101848010	Q9Y5Z6
LOC101848010	Q9Y5Z6
LOC101848253	O76082
LOC101848253	O76082
LOC101848253	O76082
LOC101848253	O76082
LOC101856304	Q99808
LOC101856304	Q99808
LOC101856547	P07384
LOC101848933	O14807
LOC101848933	O14807
LOC101849576	Q17RS7
LOC101849576	Q17RS7
LOC101849336	Q6NXE6
LOC101849976	Q8N5Y8
LOC101850217	Q9P2K5
LOC101850217	Q9P2K5
LOC101850217	Q9P2K5
LOC101850217	Q9P2K5
LOC101850217	Q9P2K5
LOC101850217	Q9P2K5
LOC101850217	Q9P2K5
LOC101850217	Q9P2K5
LOC101850217	Q9P2K5
LOC101850217	Q9P2K5
LOC101850217	Q9P2K5
LOC101850217	Q9P2K5
LOC101850217	Q9P2K5
LOC101850767	Q8N9B5
LOC101850767	Q8N9B5
LOC101850767	Q8N9B5
LOC101851161	Q9BUD6
LOC101851161	Q9BUD6
LOC101851161	Q9BUD6
LOC101856772	Q96A65
LOC101856772	Q96A65
LOC101856772	Q96A65
LOC101856772	Q96A65
LOC101856772	Q96A65
LOC101856995	P28838
LOC101851545	Q86SG6
LOC101851545	Q86SG6
LOC101857218	Q15811
LOC101857218	Q15811
LOC101857218	Q15811
LOC101857218	Q15811
LOC101857218	Q15811
LOC101857218	Q15811
LOC101857218	Q15811
LOC101851994	O95825
LOC101851994	O95825
LOC106011747	Q9HDC9
LOC101857455	Q9HDC9
LOC101852219	P17542
LOC101852444	Q6NT76
LOC101857691	Q9Y6V0
LOC106011748	P20594
LOC101858147	Q6NSJ0
LOC101858376	P35606
LOC101858589	Q92847
LOC101859290	Q92847
LOC101852662	Q86SS6
LOC101852892	Q92752
LOC101852892	Q92752
LOC101853274	O00299
LOC101859987	P62995
LOC101860462	P15259
LOC101860462	P15259
LOC101859213	P50453
LOC101860861	Q92752
LOC101861089	Q9HAS3
LOC101861478	P15259
LOC101861478	P15259
LOC101861478	P15259
LOC101861478	P15259
LOC101861478	P15259
LOC101861478	P15259
LOC101861698	Q8N6F8
LOC101862082	Q9BRV3
LOC101862622	Q5BJH2
LOC101862845	Q7Z5Q1
LOC101859679	Q9NX47
LOC101863312	O75208
LOC101863312	Q92990
LOC101863556	O14544
LOC101863788	Q9BRR8
LOC101863788	Q9BRR8
LOC101864662	Q86SG7
LOC101864662	Q86SG7
LOC101859899	P22735
LOC101845141	P24864
LOC101845141	P24864
LOC101845141	P24864
LOC101860377	O60346
LOC101845372	Q96NA8
LOC101846472	O14841
LOC101860862	Q8N4L2
LOC101846703	Q9NX58
LOC101846703	Q9NX58
LOC101846703	Q9NX58
LOC101846703	Q9NX58
LOC101847462	Q14203
LOC101847462	Q14203
LOC101847462	Q14203
LOC101847462	Q14203
LOC101847462	Q14203
LOC101847233	Q9UID3
LOC101861332	Q9UGH3
LOC101848329	O76082
LOC101861553	Q9UGH3
LOC101848792	P30988
LOC101853205	Q9H9A6
LOC101853205	Q9H9A6
LOC101853205	Q9H9A6
LOC101853205	Q9H9A6
LOC101853205	Q9H9A6
LOC101853205	Q9H9A6
LOC101853205	Q9H9A6
LOC101853205	Q9H9A6
LOC101853205	Q9H9A6
LOC101853205	Q9H9A6
LOC101853205	Q9H9A6
LOC101853205	Q9H9A6
